"Points:0","Points:1","Points:2"
0.017747,-0.027688,0
0.011394,-0.023837,0
0.0059659,-0.019676,0
0.0015286,-0.015139,0
-0.0017714,-0.010227,0
-0.0037543,-0.0050872,0
-0.0043818,-1.0536e-12,0
-0.0037543,0.0050872,0
-0.0017714,0.010227,0
0.0015286,0.015139,0
0.0059659,0.019676,0
0.011394,0.023837,0
0.017747,0.027688,0
0.02502,0.031298,0
0.033251,0.034722,0
0.042497,0.037997,0
0.052829,0.04114,0
0.064321,0.044158,0
0.077053,0.047048,0
0.091103,0.049798,0
0.10655,0.05239,0
0.12346,0.054802,0
0.14189,0.057008,0
0.1619,0.058978,0
0.18351,0.060682,0
0.20675,0.06209,0
0.2316,0.063174,0
0.25802,0.063909,0
0.28595,0.064274,0
0.31531,0.064257,0
0.34596,0.063853,0
0.37775,0.063064,0
0.4105,0.061903,0
0.444,0.06039,0
0.47803,0.058554,0
0.51234,0.056428,0
0.54668,0.054053,0
0.58081,0.05147,0
0.61447,0.048724,0
0.64745,0.045858,0
0.67951,0.042914,0
0.71049,0.039932,0
0.74022,0.036947,0
0.76856,0.033993,0
0.79543,0.031096,0
0.82075,0.028281,0
0.84447,0.025568,0
0.8666,0.022973,0
0.88714,0.020509,0
0.90612,0.018183,0
0.92358,0.016001,0
0.9396,0.013967,0
0.95423,0.01208,0
0.96757,0.010329,0
0.97974,0.008658,0
0.99097,0.0067813,0
1.003,0.0041003,0
1.0019,6.5903e-12,0
1.003,-0.0041003,0
1.0047,-0.0058723,0
0.99172,-0.0093552,0
0.98022,-0.01164,0
0.96793,-0.013395,0
0.95455,-0.015131,0
0.9399,-0.016978,0
0.92388,-0.01897,0
0.90641,-0.021114,0
0.88743,-0.023407,0
0.86688,-0.025843,0
0.84475,-0.028412,0
0.82101,-0.031103,0
0.79569,-0.033899,0
0.76882,-0.036779,0
0.74047,-0.03972,0
0.71073,-0.042694,0
0.67975,-0.045666,0
0.64767,-0.048603,0
0.61469,-0.051463,0
0.58101,-0.054206,0
0.54688,-0.056786,0
0.51252,-0.059161,0
0.4782,-0.061288,0
0.44415,-0.063127,0
0.41063,-0.064645,0
0.37786,-0.065812,0
0.34604,-0.066608,0
0.31536,-0.067022,0
0.28597,-0.06705,0
0.258,-0.066697,0
0.23154,-0.065978,0
0.20665,-0.06491,0
0.18337,-0.063521,0
0.16171,-0.061837,0
0.14164,-0.059889,0
0.12315,-0.057707,0
0.10617,-0.055319,0
0.090645,-0.052752,0
0.076507,-0.050027,0
0.063674,-0.047159,0
0.052064,-0.044156,0
0.041595,-0.041016,0
0.032185,-0.037722,0
0.023758,-0.034241,0
0.016251,-0.030515,0
0.0096289,-0.026465,0
0.0039066,-0.021998,0
-0.00082503,-0.017035,0
-0.0043858,-0.01158,0
-0.0065528,-0.0057995,0
-0.0072489,-3.9037e-12,0
-0.0065528,0.0057995,0
-0.0043858,0.01158,0
-0.00082503,0.017035,0
0.0039066,0.021998,0
0.0096289,0.026465,0
0.016251,0.030515,0
0.023758,0.034241,0
0.032185,0.037722,0
0.041595,0.041016,0
0.052064,0.044156,0
0.063674,0.047159,0
0.076507,0.050027,0
0.090645,0.052752,0
