"Points:0","Points:1","Points:2"
8.0000000000000000e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.0836775266099998e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.1694635205800008e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.2595195774400008e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.3561148878099996e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.4616834153300005e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.5788852266299997e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.7106735183699993e+00,-5.0000000000000000e-01,0.0000000000000000e+00
8.8603690305799994e+00,-5.0000000000000000e-01,0.0000000000000000e+00
9.0317437210999998e+00,-5.0000000000000000e-01,0.0000000000000000e+00
9.2291158095799997e+00,-5.0000000000000000e-01,0.0000000000000000e+00
9.4574585860300004e+00,-5.0000000000000000e-01,0.0000000000000000e+00
9.7225257254400006e+00,-5.0000000000000000e-01,0.0000000000000000e+00
1.0030996266200001e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.0390642905300000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.0810527851500000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.1301231169999999e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.1875117374800000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.2546646983100000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.3332740885500000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.4253206710100001e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.5331237926300000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.6593998262800000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.8073306166799998e+01,-5.0000000000000000e-01,0.0000000000000000e+00
1.9806436550000001e+01,-5.0000000000000000e-01,0.0000000000000000e+00
2.1837060025100001e+01,-5.0000000000000000e-01,0.0000000000000000e+00
2.4216343297100000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
2.7004238438200002e+01,-5.0000000000000000e-01,0.0000000000000000e+00
3.0270993532300000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
3.4098922753399997e+01,-5.0000000000000000e-01,0.0000000000000000e+00
3.8584480480099998e+01,-5.0000000000000000e-01,0.0000000000000000e+00
4.3840691707799998e+01,-5.0000000000000000e-01,0.0000000000000000e+00
5.0000000000000000e+01,-5.0000000000000000e-01,0.0000000000000000e+00
8.0000000000000000e+00,-5.0000000000000000e-01,5.9463979436299996e-04
8.0836775266099998e+00,-5.0000000000000000e-01,5.9470095984099996e-04
8.1694635205800008e+00,-5.0000000000000000e-01,5.9476366653899999e-04
8.2595195774400008e+00,-5.0000000000000000e-01,5.9482949450999996e-04
8.3561148878099996e+00,-5.0000000000000000e-01,5.9490010245700001e-04
8.4616834153300005e+00,-5.0000000000000000e-01,5.9497726952700001e-04
8.5788852266299997e+00,-5.0000000000000000e-01,5.9506294013800004e-04
8.7106735183699993e+00,-5.0000000000000000e-01,5.9515927297999999e-04
8.8603690305799994e+00,-5.0000000000000000e-01,5.9526869540200002e-04
9.0317437210999998e+00,-5.0000000000000000e-01,5.9539396458000002e-04
9.2291158095799997e+00,-5.0000000000000000e-01,5.9553823698699996e-04
9.4574585860300004e+00,-5.0000000000000000e-01,5.9570514793399999e-04
9.7225257254400006e+00,-5.0000000000000000e-01,5.9589890316399995e-04
1.0030996266200001e+01,-5.0000000000000000e-01,5.9612438483100003e-04
1.0390642905300000e+01,-5.0000000000000000e-01,5.9638727451800000e-04
1.0810527851500000e+01,-5.0000000000000000e-01,5.9669419639599998e-04
1.1301231169999999e+01,-5.0000000000000000e-01,5.9705288413999997e-04
1.1875117374800000e+01,-5.0000000000000000e-01,5.9747237579799997e-04
1.2546646983100000e+01,-5.0000000000000000e-01,5.9796324152300003e-04
1.3332740885500000e+01,-5.0000000000000000e-01,5.9853784992300004e-04
1.4253206710100001e+01,-5.0000000000000000e-01,5.9921067971199999e-04
1.5331237926300000e+01,-5.0000000000000000e-01,5.9999868454200004e-04
1.6593998262800000e+01,-5.0000000000000000e-01,6.0092172019200003e-04
1.8073306166799998e+01,-5.0000000000000000e-01,6.0200304488499995e-04
1.9806436550000001e+01,-5.0000000000000000e-01,6.0326990533699995e-04
2.1837060025100001e+01,-5.0000000000000000e-01,6.0475422330700005e-04
2.4216343297100000e+01,-5.0000000000000000e-01,6.0649339994899997e-04
